movies,similar
Tyler Perry's Diary of a Mad Black Woman (2005),Last Holiday (2006);Cheaper by the Dozen (2003);Uptown Girls (2003);Monster-in-Law (2005);Guess Who (2005);Catch and Release (2006);Raising Helen (2004);Little Black Book (2004);Fever Pitch (2005);Four Christmases (2008)
Cursed (2005),"American Haunting, An (2005);Darkness Falls (2003);Rose Red (2002);Fog, The (2005);Exorcist: The Beginning (2004);Tremors II: Aftershocks (1996);Stay Alive (2006);Unborn, The (2009);Seed of Chucky (Child's Play 5) (2004);They (2002)"
"Pacifier, The (2005)","Herbie: Fully Loaded (2005);Miss Congeniality 2: Armed and Fabulous (2005);Fool's Gold (2008);Failure to Launch (2006);Agent Cody Banks (2003);Cheaper by the Dozen 2 (2005);Bewitched (2005);Just My Luck (2006);Game Plan, The (2007);John Tucker Must Die (2006)"
Be Cool (2005),"Whole Ten Yards, The (2004);After the Sunset (2004);Dukes of Hazzard, The (2005);Man, The (2005);Hostage (2005);Girl Next Door, The (2004);Walking Tall (2004);Punisher, The (2004);Starsky & Hutch (2004);Into the Blue (2005)"
Gunner Palace (2004),Baadasssss! (How to Get the Man's Foot Outta Your Ass) (2003);Owning Mahowny (2003);Outfoxed: Rupert Murdoch's War on Journalism (2004);Spartan (2004);Hustle & Flow (2005);Murderball (2005);Riding Giants (2004);Control Room (2004);Step Into Liquid (2002);Enron: The Smartest Guys in the Room (2005)
Walk on Water (2004),"Water (2005);Namesake, The (2006);Joyeux Noël (Merry Christmas) (2005);Tsotsi (2005);Notes on a Scandal (2006);Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003);Infamous (2006);I've Loved You So Long (Il y a longtemps que je t'aime) (2008);Zelary (2003);Heights (2004)"
Hostage (2005),"Assault on Precinct 13 (2005);Mindhunters (2004);Cellular (2004);Into the Blue (2005);Four Brothers (2005);Flight of the Phoenix (2004);16 Blocks (2006);Sentinel, The (2006);Firewall (2006);Punisher, The (2004)"
Robots (2005),"Chicken Little (2005);Over the Hedge (2006);Hoodwinked! (2005);Shark Tale (2004);Open Season (2006);Ant Bully, The (2006);Madagascar (2005);Shrek the Third (2007);Ice Age 2: The Meltdown (2006);Valiant (2005)"
Class Action (1991),"Guarding Tess (1994);Legal Eagles (1986);One Good Cop (1991);Spencer's Mountain (1963);Continental Divide (1981);Dad (1989);Electric Horseman, The (1979);Leap of Faith (1992);Housesitter (1992);Foul Play (1978)"
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira) (1993),"Godzilla's Revenge (Gojira-Minira-Gabara: Oru Kaijû Daishingeki) (All Monsters Attack) (1969);Orca: The Killer Whale (1977);Howling III: The Marsupials (1987);Killer Klowns from Outer Space (1988);Dead Heat (1988);Cursed (2005);Darkman (1990);Swarm, The (1978);Critters (1986);Critters 2: The Main Course (1988)"
"Oh, God! You Devil (1984)","Dragnet (1987);Last Starfighter, The (1984);Rooster Cogburn (1975);Short Circuit (1986);King Ralph (1991);*batteries not included (1987);Quigley Down Under (1990);Secret of My Succe$s, The (a.k.a. The Secret of My Success) (1987);D.A.R.Y.L. (1985);Man with One Red Shoe, The (1985)"
"Agony and the Ecstasy, The (1965)","Camelot (1967);How the West Was Won (1962);Adventures of Sherlock Holmes, The (1939);Prince and the Pauper, The (1937);Shenandoah (1965);Boys Town (1938);Christmas Carol, A (Scrooge) (1951);Sherlock Holmes and the Secret Weapon (1942);Secret Life of Walter Mitty, The (1947);Life with Father (1947)"
Twentieth Century (1934),"Dinner at Eight (1933);Ball of Fire (1941);Nothing Sacred (1937);Dodsworth (1936);Leave Her to Heaven (1945);Bad and the Beautiful, The (1952);Letter to Three Wives, A (1949);Swing Time (1936);Unfaithfully Yours (1948);Nightmare Alley (1947)"
Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958),"Vitelloni, I (a.k.a. The Young and the Passionate) (1953);Man Escaped, A (Un  condamné à mort s'est échappé ou Le vent souffle où il veut) (1956);Young and the Damned, The (Olvidados, Los) (1950);Ali: Fear Eats the Soul (Angst essen Seele auf) (1974);Virgin Spring, The (Jungfrukällan) (1960);Viridiana (1961);Knife in the Water (Nóz w wodzie) (1962);Spirit of the Beehive, The (Espíritu de la colmena, El) (1973);Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979);Atalante, L' (1934)"
"Violent Cop (Sono otoko, kyôbô ni tsuki) (1989)","Lady Snowblood (Shurayukihime) (1973);36th Chamber of Shaolin, The (Shao Lin san shi liu fang) (Master Killer) (1978);Sonatine (Sonachine) (1993);Lone Wolf and Cub: Sword of Vengeance (Kozure Ôkami: Kowokashi udekashi tsukamatsuru) (1972);Lone Wolf and Cub: Baby Cart to Hades (Kozure Ôkami: Shinikazeni mukau ubaguruma) (1972);Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003);Django (1966);Dead or Alive: Hanzaisha (1999);Happiness of the Katakuris, The (Katakuri-ke no kôfuku) (2001);Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000)"
Cube Zero (2004),"Cube 2: Hypercube (2002);Silent Hill (2006);Mirrors (2008);Langoliers, The (1995);Mist, The (2007);Pandorum (2009);American Psycho II: All American Girl (2002);Doomsday (2008);1408 (2007);Day Watch (Dnevnoy dozor) (2006)"
Julia (1977),"Sounder (1972);Advise and Consent (1962);Turning Point, The (1977);Country Girl, The (1954);Georgy Girl (1966);Snake Pit, The (1948);Prime of Miss Jean Brodie, The (1969);Summertime (1955);Mr. & Mrs. Bridge (1990);Lust for Life (1956)"
Save the Green Planet! (Jigureul jikyeora!) (2003),"Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002);Lady Vengeance (Sympathy for Lady Vengeance) (Chinjeolhan geumjassi) (2005);Thirst (Bakjwi) (2009);I'm a Cyborg, But That's OK (Saibogujiman kwenchana) (2006);Cat Soup (Nekojiru-so) (2001);Mind Game (2004);Survive Style 5+ (2004);Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003);Tale of Two Sisters, A (Janghwa, Hongryeon) (2003);Bittersweet Life, A (Dalkomhan insaeng) (2005)"
Ice Princess (2005),"Perfect Man, The (2005);Raise Your Voice (2004);Cinderella Story, A (2004);Princess Diaries 2: Royal Engagement, The (2004);First Daughter (2004);Chasing Liberty (2004);What a Girl Wants (2003);Sisterhood of the Traveling Pants, The (2005);Stick It (2006);Prince & Me, The (2004)"
Melinda and Melinda (2004),"Match Point (2005);Anything Else (2003);Scoop (2006);Dreamers, The (2003);Cassandra's Dream (2007);2 Days in Paris (2007);5x2 (2004);Little Children (2006);Volver (2006);Hollywood Ending (2002)"
Miss Congeniality 2: Armed and Fabulous (2005),"Cheaper by the Dozen 2 (2005);First Daughter (2004);Monster-in-Law (2005);Failure to Launch (2006);Pacifier, The (2005);Yours, Mine and Ours (2005);Princess Diaries 2: Royal Engagement, The (2004);Just My Luck (2006);Prince & Me, The (2004);Cheaper by the Dozen (2003)"
Guess Who (2005),"Laws of Attraction (2004);Monster-in-Law (2005);Cheaper by the Dozen (2003);Failure to Launch (2006);Raising Helen (2004);Perfect Score, The (2004);First Daughter (2004);Ladder 49 (2004);Pacifier, The (2005);Along Came Polly (2004)"
D.E.B.S. (2004),"Imagine Me & You (2005);John Tucker Must Die (2006);Confessions of a Teenage Drama Queen (2004);She's the Man (2006);Just My Luck (2006);Stick It (2006);Raise Your Voice (2004);Georgia Rule (2007);Stepford Wives, The (2004);Honey (2003)"
"League of Ordinary Gentlemen, A (2004)","Lara Croft Tomb Raider: The Cradle of Life (2003);League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003);Bulletproof Monk (2003);Van Helsing (2004);Daredevil (2003);Scorpion King, The (2002);Medallion, The (2003);Shanghai Knights (2003);Lara Croft: Tomb Raider (2001);xXx (2002)"
Panic in the Streets (1950),"Nightmare Alley (1947);Seance on a Wet Afternoon (1964);Ride the High Country (1962);Naked City, The (1948);Swimmer, The (1968);Set-Up, The (1949);Charley Varrick (1973);Night and the City (1950);Fury (1936);Naked Spur, The (1953)"
Call Northside 777 (1948),"Here Comes Mr. Jordan (1941);Heaven Can Wait (1943);Petrified Forest, The (1936);They Drive by Night (1940);Lust for Life (1956);Country Girl, The (1954);Man in the Gray Flannel Suit, The (1956);Harder They Fall, The (1956);Letter, The (1940);Advise and Consent (1962)"
"Sword of Doom, The (Dai-bosatsu tôge) (1966)","Onibaba (1964);Kwaidan (Kaidan) (1964);Bad Sleep Well, The (Warui yatsu hodo yoku nemuru) (1960);Stray Dog (Nora inu) (1949);Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu) (1967);Harakiri (Seppuku) (1962);Good Morning (Ohayô) (1959);Drunken Angel (Yoidore tenshi) (1948);Red Beard (Akahige) (1965);Samouraï, Le (Godson, The) (1967)"
"Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)","Tekkonkinkreet (Tekkon kinkurîto) (2006);Tokyo Godfathers (2003);Paprika (Papurika) (2006);Cat Returns, The (Neko no ongaeshi) (2002);Memories (Memorîzu) (1995);Porco Rosso (Crimson Pig) (Kurenai no buta) (1992);Whisper of the Heart (Mimi wo sumaseba) (1995);Millennium Actress (Sennen joyû) (2001);Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006);Ponyo (Gake no ue no Ponyo) (2008)"
Knockin' on Heaven's Door (1997),"Interstate 60 (2002);Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008);99 francs (2007);Gentlemen of Fortune (Dzhentlmeny udachi) (1972);Angel-A (2005);Cashback (2006);Man from Earth, The (2007);Taxi (1998);Adam's Apples (Adams æbler) (2005);Wave, The (Welle, Die) (2008)"
We're No Angels (1955),"Secret Life of Walter Mitty, The (1947);Thin Man Goes Home, The (1945);Life with Father (1947);Song of the Thin Man (1947);Mr. Blandings Builds His Dream House (1948);Boys Town (1938);Blackboard Jungle (1955);I Was a Male War Bride (1949);My Favorite Wife (1940);Call Northside 777 (1948)"
"Earrings of Madame de..., The (Madame de...) (1953)","Leopard, The (Gattopardo, Il) (1963);Johnny Guitar (1954);Zero de conduite (Zero for Conduct) (Zéro de conduite: Jeunes diables au collège) (1933);Atalante, L' (1934);Day of Wrath (Vredens dag) (1943);Floating Weeds (Ukigusa) (1959);Port of Shadows (Quai des brumes) (1938);Forbidden Games (Jeux interdits) (1952);Veronika Voss (Sehnsucht der Veronika Voss, Die) (1982);Smiles of a Summer Night (Sommarnattens leende) (1955)"
Memories (Memorîzu) (1995),"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997);Interstella 5555: The 5tory of the 5ecret 5tar 5ystem (2003);Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007);Paprika (Papurika) (2006);Tekkonkinkreet (Tekkon kinkurîto) (2006);Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997);Voices of a Distant Star (Hoshi no koe) (2003);Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994);Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009);Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)"
Harvie Krumpet (2003),"Waltz with Bashir (Vals im Bashir) (2008);Town Called Panic, A (Panique au village) (2009);Illusionist, The (L'illusionniste) (2010);Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987);More (1998);Mary and Max (2009);Heima (2007);Mother (Madeo) (2009);Vincent (1982);Bothersome Man, The (Brysomme mannen, Den) (2006)"
"Wild Parrots of Telegraph Hill, The (2003)","Shut Up & Sing (2006);My Architect: A Son's Journey (2003);Off the Map (2003);Wordplay (2006);Water (2005);Prairie Home Companion, A (2006);Sweet Land (2005);Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003);Vera Drake (2004);Rivers and Tides (2001)"
"Ballad of Jack and Rose, The (2005)","Door in the Floor, The (2004);SherryBaby (2006);Woodsman, The (2004);Blue Car (2002);Junebug (2005);Nine Lives (2005);Mean Creek (2004);P.S. (2004);Shopgirl (2005);Heights (2004)"
Sin City (2005),Kill Bill: Vol. 2 (2004);Kill Bill: Vol. 1 (2003);V for Vendetta (2006);Grindhouse (2007);Batman Begins (2005);Kiss Kiss Bang Bang (2005);Lucky Number Slevin (2006);Lord of War (2005);Thank You for Smoking (2006);300 (2007)
Beauty Shop (2005),"Confessions of a Teenage Drama Queen (2004);Big Momma's House 2 (2006);Monster-in-Law (2005);Bewitched (2005);Hot Chick, The (2002);Miss Congeniality 2: Armed and Fabulous (2005);Look Who's Talking Too (1990);Are We There Yet? (2005);Herbie: Fully Loaded (2005);Pacifier, The (2005)"
Look at Me (Comme une image) (2004),"Intimate Strangers (Confidences trop intimes) (2004);Casa de los babys (2003);Vera Drake (2004);Mother, The (2003);Man on the Train (Homme du train, L') (2002);Osama (2003);Company, The (2003);My Architect: A Son's Journey (2003);Brothers (Brødre) (2004);Story of the Weeping Camel, The (Geschichte vom weinenden Kamel, Die) (2003)"
Sahara (2005),"Flight of the Phoenix (2004);Legend of Zorro, The (2005);Stealth (2005);King Arthur (2004);National Treasure (2004);Timeline (2003);After the Sunset (2004);Sentinel, The (2006);Cellular (2004);Firewall (2006)"
Fever Pitch (2005),"Family Stone, The (2005);Spanglish (2004);Catch and Release (2006);In Her Shoes (2005);Something New (2006);Sisterhood of the Traveling Pants, The (2005);Must Love Dogs (2005);Wimbledon (2004);Last Holiday (2006);Rumor Has It... (2005)"
Rhinestone (1984),"Flight of Dragons, The (1982);Phantom Tollbooth, The (1970);Goonies, The (1985);Batman: Mask of the Phantasm (1993);Transformers: The Movie (1986);Labyrinth (1986);Dark Crystal, The (1982);Adventures of Baron Munchausen, The (1988);Teenage Mutant Ninja Turtles (1990);Secret of NIMH, The (1982)"
"Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987)","Harvie Krumpet (2003);Illusionist, The (L'illusionniste) (2010);Town Called Panic, A (Panique au village) (2009);Waltz with Bashir (Vals im Bashir) (2008);Sita Sings the Blues (2008);Cave of Forgotten Dreams (2010);Carlos (2010);Encounters at the End of the World (2008);Kirikou and the Sorceress (Kirikou et la sorcière) (1998);More (1998)"
Battle of the Bulge (1965),"Ice Station Zebra (1968);Battle of Britain (1969);Eiger Sanction, The (1975);Joe Kidd (1972);Midway (1976);Blue Thunder (1983);Enemy Below, The (1957);To Hell and Back (1955);1941 (1979);Great Train Robbery, The (a.k.a. First Great Train Robbery, The) (1979)"
Ringu 0: Bâsudei (2000),"Stay Alive (2006);Dead Silence (2007);Unborn, The (2009);Ruins, The (2008);Grudge 2, The (2006);American Haunting, An (2005);Messengers, The (2007);One Missed Call (2008);My Bloody Valentine 3-D (2009);Wicker Man, The (2006)"
Brothers (Brødre) (2004),"After the Wedding (Efter brylluppet) (2006);Nine Lives (2005);Three Burials of Melquiades Estrada, The (2006);Boxer, The (1997);Look at Me (Comme une image) (2004);Fond Kiss, A (Ae Fond Kiss...) (2004);Intimate Strangers (Confidences trop intimes) (2004);Wind That Shakes the Barley, The (2006);Away from Her (2006);Beat That My Heart Skipped, The (battre mon coeur s'est arrêté, De) (2005)"
Sexmission (Seksmisja) (1984),"Heart of a Dog (Sobachye serdtse) (1988);Brother (Brat) (1997);Kin-Dza-Dza! (1986);Gentlemen of Fortune (Dzhentlmeny udachi) (1972);Black Cat, White Cat (Crna macka, beli macor) (1998);Arizona Dream (1993);Ugly, Dirty and Bad (Brutti sporchi e cattivi) (1976);Knockin' on Heaven's Door (1997);Ax, The (couperet, Le) (2005);Green Butchers, The (Grønne slagtere, De) (2003)"
Vincent (1982),"More (1998);Harvie Krumpet (2003);I'm a Cyborg, But That's OK (Saibogujiman kwenchana) (2006);Illusionist, The (L'illusionniste) (2010);Mary and Max (2009);Cat Soup (Nekojiru-so) (2001);Man Who Planted Trees, The (Homme qui plantait des arbres, L') (1987);Dogtooth (Kynodontas) (2009);Alice (Neco z Alenky) (1988);Work of Director Michel Gondry, The (2003)"
"Sorrow and the Pity, The (Le chagrin et la pitié) (1969)","Shop on Main Street, The (Obchod na korze) (1965);Murmur of the Heart (Le souffle au coeur) (1971);Forbidden Games (Jeux interdits) (1952);Shoah (1985);Pandora's Box (Büchse der Pandora, Die) (1929);Nanook of the North (1922);Browning Version, The (1951);Greed (1924);Great Expectations (1946);Intolerance: Love's Struggle Throughout the Ages (1916)"
Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962),"Andrei Rublev (Andrey Rublyov) (1969);Mirror, The (Zerkalo) (1975);Through a Glass Darkly (Såsom i en spegel) (1961);Silence, The (Tystnaden) (1963);Nostalghia (1983);Winter Light (Nattvardsgästerna) (1963);Sacrifice, The (Offret - Sacraficatio) (1986);Mouchette (1967);Come and See (Idi i smotri) (1985);Exterminating Angel, The (Ángel exterminador, El) (1962)"
"Trip to the Moon, A (Voyage dans la lune, Le) (1902)","Vampyr (1932);F for Fake (Vérités et mensonges) (1973);Trou, Le (Hole, The) (Night Watch, The) (1960);Night and Fog (Nuit et brouillard) (1955);Play Time (a.k.a. Playtime) (1967);Onibaba (1964);Spirit of the Beehive, The (Espíritu de la colmena, El) (1973);Sherlock Jr. (1924);Golden Age, The (Âge d'Or, L') (1930);Werckmeister Harmonies (Werckmeister harmóniák) (2000)"
Life Is Sweet (1990),"Monsieur Hire (1989);Harlan County U.S.A. (1976);Story of Qiu Ju, The (Qiu Ju da guan si) (1992);Angel at My Table, An (1990);7 Plus Seven (1970);Ju Dou (1990);35 Up (1991);Grey Gardens (1975);Roman Polanski: Wanted and Desired (2008);21 Up (1977)"
"Hitchhiker's Guide to the Galaxy, The (2005)","Idiocracy (2006);Brothers Grimm, The (2005);Hellboy (2004);Lemony Snicket's A Series of Unfortunate Events (2004);Futurama: Bender's Game (2008);Futurama: Bender's Big Score (2007);Charlie and the Chocolate Factory (2005);Constantine (2005);Futurama: The Beast with a Billion Backs (2008);Colour of Magic, The (Terry Pratchett's The Colour of Magic) (2008)"
"Eiger Sanction, The (1975)","Ice Station Zebra (1968);Joe Kidd (1972);Rooster Cogburn (1975);Great Train Robbery, The (a.k.a. First Great Train Robbery, The) (1979);Star Chamber, The (1983);Goin' South (1978);Sudden Impact (1983);Fourth Protocol, The (1987);Enemy Below, The (1957);Quigley Down Under (1990)"
F for Fake (Vérités et mensonges) (1973),"Spirit of the Beehive, The (Espíritu de la colmena, El) (1973);Play Time (a.k.a. Playtime) (1967);Vampyr (1932);Golden Age, The (Âge d'Or, L') (1930);My Winnipeg (2007);Pickpocket (1959);Night and Fog (Nuit et brouillard) (1955);Corbeau, Le (Raven, The) (1943);Killing of a Chinese Bookie, The (1976);Last Year at Marienbad (L'Année dernière à Marienbad) (1961)"
"Amityville Horror, The (2005)","Ring Two, The (2005);House of Wax (2005);Skeleton Key, The (2005);Dead Silence (2007);Exorcism of Emily Rose, The (2005);Cry_Wolf (a.k.a. Cry Wolf) (2005);Hostel (2005);Grudge, The (2004);Final Destination 3 (2006);Texas Chainsaw Massacre, The (2003)"
Before the Fall (NaPolA - Elite für den Führer) (2004),"Tunnel, The (Tunnel, Der) (2001);Black Book (Zwartboek) (2006);Katyn (2007);Transsiberian (2008);In the Valley of Elah (2007);Rendition (2007);Road to Guantanamo, The (2006);Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005);Catch a Fire (2006);Flags of Our Fathers (2006)"
Palindromes (2004),"Last Days (2005);Elephant (2003);Brown Bunny, The (2003);Five Obstructions, The (Fem benspænd, De) (2003);Dear Wendy (2005);Gerry (2002);I Stand Alone (Seul contre tous) (1998);Tarnation (2003);Paranoid Park (2007);Noi the Albino (Nói albinói) (2003)"
"Lot Like Love, A (2005)","Georgia Rule (2007);Just Like Heaven (2005);Holiday, The (2006);Because I Said So (2007);Rumor Has It... (2005);Failure to Launch (2006);Wedding Date, The (2005);Catch and Release (2006);Take the Lead (2006);Music and Lyrics (2007)"
Enron: The Smartest Guys in the Room (2005),"Murderball (2005);No End in Sight (2007);Why We Fight (2005);Who Killed the Electric Car? (2006);Control Room (2004);Deliver Us from Evil (2006);Taxi to the Dark Side (2007);Good Night, and Good Luck. (2005);Inconvenient Truth, An (2006);Outfoxed: Rupert Murdoch's War on Journalism (2004)"
xXx: State of the Union (2005),"Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006);2 Fast 2 Furious (Fast and the Furious 2, The) (2003);Elektra (2005);Transporter 2 (2005);Ghost Rider (2007);Rush Hour 3 (2007);Lara Croft Tomb Raider: The Cradle of Life (2003);Fantastic Four (2005);Fantastic Four: Rise of the Silver Surfer (2007);Stealth (2005)"
Kingdom of Heaven (2005),"Alexander (2004);Troy (2004);King Arthur (2004);Saints and Soldiers (2003);Constantine (2005);Kingdom, The (2007);Island, The (2005);Apocalypto (2006);Beowulf (2007);Jet Li's Fearless (Huo Yuan Jia) (2006)"
House of Wax (2005),"Ring Two, The (2005);Amityville Horror, The (2005);Dead Silence (2007);Wrong Turn (2003);White Noise (2005);Grudge 2, The (2006);Hide and Seek (2005);Godsend (2004);Final Destination 3 (2006);Hills Have Eyes II, The (2007)"
Crash (2004),"Walk the Line (2005);Million Dollar Baby (2004);Hotel Rwanda (2004);Ray (2004);Cinderella Man (2005);Munich (2005);Aviator, The (2004);Last King of Scotland, The (2006);Mystic River (2003);Constant Gardener, The (2005)"
Mysterious Skin (2004),"Shortbus (2006);Elephant (2003);My Summer of Love (2004);Me and You and Everyone We Know (2005);Dreamers, The (2003);Breakfast on Pluto (2005);Half Nelson (2006);Paranoid Park (2007);Mean Creek (2004);Control (2007)"
Kes (1969),"Night and Fog (Nuit et brouillard) (1955);Closely Watched Trains (Ostre sledované vlaky) (1966);Army of Shadows (L'armée des ombres) (1969);Spirit of the Beehive, The (Espíritu de la colmena, El) (1973);Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990);Trou, Le (Hole, The) (Night Watch, The) (1960);Passenger, The (Professione: reporter) (1975);F for Fake (Vérités et mensonges) (1973);Doulos, Le (1962);My Night At Maud's (Ma Nuit Chez Maud) (1969)"
"Cocoanuts, The (1929)","Monkey Business (1931);Night in Casablanca, A (1946);Day at the Races, A (1937);Horse Feathers (1932);Animal Crackers (1930);Hunchback of Notre Dame, The (1939);Heaven Can Wait (1943);Destry Rides Again (1939);Freshman, The (1925);D.O.A. (1950)"
Off the Map (2003),"Venus (2006);Sweet Land (2005);Being Julia (2004);Starting Out in the Evening (2007);Zelary (2003);Namesake, The (2006);Wild Parrots of Telegraph Hill, The (2003);Girl in the Café, The (2005);Mother, The (2003);Heights (2004)"
Dear Wendy (2005),"Factotum (2005);Palindromes (2004);Elephant (2003);Coffee and Cigarettes (2003);Control (Kontroll) (2003);Brown Bunny, The (2003);Paranoid Park (2007);Last Days (2005);Noi the Albino (Nói albinói) (2003);Irreversible (Irréversible) (2002)"
Unleashed (Danny the Dog) (2005),"Jet Li's Fearless (Huo Yuan Jia) (2006);Protector, The (a.k.a. Warrior King) (Tom yum goong) (2005);Punisher, The (2004);Constantine (2005);Azumi (2003);Crank (2006);Ong-Bak: The Thai Warrior (Ong Bak) (2003);Hostage (2005);Domino (2005);Assault on Precinct 13 (2005)"
"Ugly, Dirty and Bad (Brutti sporchi e cattivi) (1976)","Short Film About Love, A (Krótki film o milosci) (1988);1900 (Novecento) (1976);Short Film About Killing, A (Krótki film o zabijaniu) (1988);Return, The (Vozvrashcheniye) (2003);Arizona Dream (1993);Black Cat, White Cat (Crna macka, beli macor) (1998);Head-On (Gegen die Wand) (2004);Underground (1995);Come and See (Idi i smotri) (1985);Time of the Gypsies (Dom za vesanje) (1989)"
Star Wars: Episode III - Revenge of the Sith (2005),"Star Wars: Episode II - Attack of the Clones (2002);X-Men: The Last Stand (2006);Matrix Revolutions, The (2003);Pirates of the Caribbean: Dead Man's Chest (2006);War of the Worlds (2005);Matrix Reloaded, The (2003);Spider-Man 2 (2004);Superman Returns (2006);I, Robot (2004);King Kong (2005)"
Kicking & Screaming (2005),"I Now Pronounce You Chuck and Larry (2007);Blades of Glory (2007);You, Me and Dupree (2006);School for Scoundrels (2006);Employee of the Month (2006);Fun with Dick and Jane (2005);Longest Yard, The (2005);Click (2006);Ringer, The (2005);Benchwarmers, The (2006)"
Monster-in-Law (2005),"Failure to Launch (2006);Miss Congeniality 2: Armed and Fabulous (2005);Because I Said So (2007);Honey (2003);First Daughter (2004);Uptown Girls (2003);Just My Luck (2006);Raising Helen (2004);John Tucker Must Die (2006);Yours, Mine and Ours (2005)"
Deep Blue (2003),"Amen. (2002);Carandiru (2003);War Photographer (2001);Oliver Twist (2005);101 Reykjavik (101 Reykjavík) (2000);Road to Guantanamo, The (2006);Don't Come Knocking (2005);Cuckoo, The (Kukushka) (2002);I'm Not Scared (Io non ho paura) (2003);5x2 (2004)"
"Snow Walker, The (2003)","World's Fastest Indian, The (2005);Something the Lord Made (2004);Great Debaters, The (2007);Kite Runner, The (2007);Unfinished Life, An (2005);Soloist, The (2009);Joyeux Noël (Merry Christmas) (2005);Catch a Fire (2006);Flash of Genius (2008);I Am David (2003)"
Divorce - Italian Style (Divorzio all'italiana) (1961),"Closely Watched Trains (Ostre sledované vlaky) (1966);Vitelloni, I (a.k.a. The Young and the Passionate) (1953);Stolen Kisses (Baisers volés) (1968);Port of Shadows (Quai des brumes) (1938);Cranes Are Flying, The (Letyat zhuravli) (1957);Elevator to the Gallows (a.k.a. Frantic) (Ascenseur pour l'échafaud) (1958);Amarcord (1973);Forbidden Games (Jeux interdits) (1952);Young and the Damned, The (Olvidados, Los) (1950);Hands Off the Loot (Touchez pas au grisbi) (1954)"
9 Songs (2004),"Dreamers, The (2003);101 Reykjavik (101 Reykjavík) (2000);Irreversible (Irréversible) (2002);5x2 (2004);Lilya 4-Ever (Lilja 4-ever) (2002);Reconstruction (2003);Manderlay (2005);Carandiru (2003);Piano Teacher, The (La pianiste) (2001);Elephant (2003)"
Madagascar (2005),Ice Age 2: The Meltdown (2006);Shrek the Third (2007);Shark Tale (2004);Over the Hedge (2006);Madagascar: Escape 2 Africa (2008);Robots (2005);Bee Movie (2007);Happy Feet (2006);Shrek the Halls (2007);Hoodwinked! (2005)
Somersault (2004),My Life Without Me (2003);My Summer of Love (2004);Notes on a Scandal (2006);Transamerica (2005);Happy Endings (2005);He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002);Wilbur Wants to Kill Himself (2002);Shortbus (2006);Factory Girl (2006);Thumbsucker (2005)
Mad Hot Ballroom (2005),"Born into Brothels (2004);In America (2002);Wordplay (2006);Water (2005);Millions (2004);Pieces of April (2003);Wit (2001);Wild Parrots of Telegraph Hill, The (2003);Winged Migration (Peuple migrateur, Le) (2001);Mostly Martha (Bella Martha) (2001)"
Dominion: Prequel to the Exorcist (2005),"D-War (Dragon Wars) (2007);Alone in the Dark (2005);My Bloody Valentine (1981);Carnosaur 3: Primal Species (1996);Swarm, The (1978);Street Fighter: The Legend of Chun-Li (2009);Pulse (2006);Fog, The (2005);See No Evil (2006);Faces of Death 6 (1996)"
"Longest Yard, The (2005)","Benchwarmers, The (2006);You, Me and Dupree (2006);Employee of the Month (2006);I Now Pronounce You Chuck and Larry (2007);Fun with Dick and Jane (2005);Click (2006);Without a Paddle (2004);Wild Hogs (2007);Ringer, The (2005);Deuce Bigalow: European Gigolo (2005)"
Saving Face (2004),"Waitress (2007);Kinky Boots (2005);Namesake, The (2006);Mrs. Henderson Presents (2005);Transamerica (2005);Quinceañera (2006);Water (2005);Monsieur Ibrahim (Monsieur Ibrahim et les fleurs du Coran) (2003);Dear Frankie (2004);Millions (2004)"
